movieId,title,movieIndex
1,Toy Story (1995),0
2,Jumanji (1995),1
3,Grumpier Old Men (1995),2
4,Waiting to Exhale (1995),3
5,Father of the Bride Part II (1995),4
6,Heat (1995),5
7,Sabrina (1995),6
8,Tom and Huck (1995),7
9,Sudden Death (1995),8
10,GoldenEye (1995),9
11,"American President, The (1995)",10
12,Dracula: Dead and Loving It (1995),11
13,Balto (1995),12
14,Nixon (1995),13
15,Cutthroat Island (1995),14
16,Casino (1995),15
17,Sense and Sensibility (1995),16
18,Four Rooms (1995),17
19,Ace Ventura: When Nature Calls (1995),18
20,Money Train (1995),19
21,Get Shorty (1995),20
22,Copycat (1995),21
23,Assassins (1995),22
24,Powder (1995),23
25,Leaving Las Vegas (1995),24
26,Othello (1995),25
27,Now and Then (1995),26
28,Persuasion (1995),27
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",28
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),29
31,Dangerous Minds (1995),30
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),31
34,Babe (1995),32
36,Dead Man Walking (1995),33
38,It Takes Two (1995),34
39,Clueless (1995),35
40,"Cry, the Beloved Country (1995)",36
41,Richard III (1995),37
42,Dead Presidents (1995),38
43,Restoration (1995),39
44,Mortal Kombat (1995),40
45,To Die For (1995),41
46,How to Make an American Quilt (1995),42
47,Seven (a.k.a. Se7en) (1995),43
48,Pocahontas (1995),44
49,When Night Is Falling (1995),45
50,"Usual Suspects, The (1995)",46
52,Mighty Aphrodite (1995),47
53,Lamerica (1994),48
54,"Big Green, The (1995)",49
55,Georgia (1995),50
57,Home for the Holidays (1995),51
58,"Postman, The (Postino, Il) (1994)",52
60,"Indian in the Cupboard, The (1995)",53
61,Eye for an Eye (1996),54
62,Mr. Holland's Opus (1995),55
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),56
64,Two if by Sea (1996),57
65,Bio-Dome (1996),58
66,Lawnmower Man 2: Beyond Cyberspace (1996),59
68,French Twist (Gazon maudit) (1995),60
69,Friday (1995),61
70,From Dusk Till Dawn (1996),62
71,Fair Game (1995),63
72,Kicking and Screaming (1995),64
73,"Misérables, Les (1995)",65
74,Bed of Roses (1996),66
75,Big Bully (1996),67
76,Screamers (1995),68
77,Nico Icon (1995),69
78,"Crossing Guard, The (1995)",70
79,"Juror, The (1996)",71
80,"White Balloon, The (Badkonake sefid) (1995)",72
81,Things to Do in Denver When You're Dead (1995),73
82,Antonia's Line (Antonia) (1995),74
83,Once Upon a Time... When We Were Colored (1995),75
85,Angels and Insects (1995),76
86,White Squall (1996),77
87,Dunston Checks In (1996),78
88,Black Sheep (1996),79
89,Nick of Time (1995),80
92,Mary Reilly (1996),81
93,Vampire in Brooklyn (1995),82
94,Beautiful Girls (1996),83
95,Broken Arrow (1996),84
96,In the Bleak Midwinter (1995),85
97,"Hate (Haine, La) (1995)",86
99,Heidi Fleiss: Hollywood Madam (1995),87
100,City Hall (1996),88
101,Bottle Rocket (1996),89
102,Mr. Wrong (1996),90
103,Unforgettable (1996),91
104,Happy Gilmore (1996),92
105,"Bridges of Madison County, The (1995)",93
106,Nobody Loves Me (Keiner liebt mich) (1994),94
107,Muppet Treasure Island (1996),95
108,Catwalk (1996),96
110,Braveheart (1995),97
111,Taxi Driver (1976),98
112,Rumble in the Bronx (Hont faan kui) (1995),99
113,Before and After (1996),100
116,Anne Frank Remembered (1995),101
117,"Young Poisoner's Handbook, The (1995)",102
118,If Lucy Fell (1996),103
119,"Steal Big, Steal Little (1995)",104
121,"Boys of St. Vincent, The (1992)",105
122,Boomerang (1992),106
123,Chungking Express (Chung Hing sam lam) (1994),107
125,Flirting With Disaster (1996),108
126,"NeverEnding Story III, The (1994)",109
128,Jupiter's Wife (1994),110
129,Pie in the Sky (1996),111
132,Jade (1995),112
135,Down Periscope (1996),113
137,Man of the Year (1995),114
140,Up Close and Personal (1996),115
141,"Birdcage, The (1996)",116
144,"Brothers McMullen, The (1995)",117
145,Bad Boys (1995),118
146,"Amazing Panda Adventure, The (1995)",119
147,"Basketball Diaries, The (1995)",120
148,"Awfully Big Adventure, An (1995)",121
149,Amateur (1994),122
150,Apollo 13 (1995),123
151,Rob Roy (1995),124
152,"Addiction, The (1995)",125
153,Batman Forever (1995),126
154,Beauty of the Day (Belle de jour) (1967),127
155,Beyond Rangoon (1995),128
156,Blue in the Face (1995),129
157,Canadian Bacon (1995),130
158,Casper (1995),131
159,Clockers (1995),132
160,Congo (1995),133
161,Crimson Tide (1995),134
162,Crumb (1994),135
163,Desperado (1995),136
164,Devil in a Blue Dress (1995),137
165,Die Hard: With a Vengeance (1995),138
166,"Doom Generation, The (1995)",139
168,First Knight (1995),140
169,Free Willy 2: The Adventure Home (1995),141
170,Hackers (1995),142
171,Jeffrey (1995),143
172,Johnny Mnemonic (1995),144
173,Judge Dredd (1995),145
174,Jury Duty (1995),146
175,Kids (1995),147
176,Living in Oblivion (1995),148
177,Lord of Illusions (1995),149
178,Love & Human Remains (1993),150
179,Mad Love (1995),151
180,Mallrats (1995),152
181,Mighty Morphin Power Rangers: The Movie (1995),153
183,Mute Witness (1994),154
184,Nadja (1994),155
185,"Net, The (1995)",156
186,Nine Months (1995),157
187,Party Girl (1995),158
188,"Prophecy, The (1995)",159
189,Reckless (1995),160
190,Safe (1995),161
191,"Scarlet Letter, The (1995)",162
193,Showgirls (1995),163
194,Smoke (1995),164
195,Something to Talk About (1995),165
196,Species (1995),166
198,Strange Days (1995),167
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",168
201,Three Wishes (1995),169
202,Total Eclipse (1995),170
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",171
204,Under Siege 2: Dark Territory (1995),172
205,Unstrung Heroes (1995),173
206,Unzipped (1995),174
207,"Walk in the Clouds, A (1995)",175
208,Waterworld (1995),176
209,White Man's Burden (1995),177
210,Wild Bill (1995),178
211,"Browning Version, The (1994)",179
212,Bushwhacked (1995),180
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),181
214,Before the Rain (Pred dozhdot) (1994),182
215,Before Sunrise (1995),183
216,Billy Madison (1995),184
217,"Babysitter, The (1995)",185
218,Boys on the Side (1995),186
219,"Cure, The (1995)",187
